Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,Links_Rechts,Liberal_Konservativ
Andreas Häusler,EVP,Rather yes,Yes,No,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,4,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Rather no,No,Rather no,Rather no,Rather yes,Rather no,No,No,Rather yes,No,Rather yes,Rather yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather no,Yes,Rather yes,No,Rather no,Yes,Rather no,Yes,Rather no,3,4,6,-7.5,1.5
Angela Bleiker,EVP,Rather yes,Yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather no,Yes,5,Yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,No,No,No,No,Rather no,Rather no,No,Rather no,Rather yes,No,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Yes,No,No,Rather no,Yes,Rather no,Yes,Rather no,3,4,5,-0.5,7.0
Levy Muiba,EVP,Yes,No,Rather no,Rather yes,Yes,Yes,Rather no,Yes,Rather no,Rather yes,5,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,No,No,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,4,7,2,3.5,7.0
Daniela Anrig,EVP,Yes,Rather yes,No,Rather yes,Yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,5,Rather yes,Yes,No,Rather yes,Rather yes,Rather no,Yes,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,No,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Yes,No,Rather no,Rather no,Yes,Rather yes,Yes,Rather no,3,4,7,-5.5,4.0
Daniel Kern,EVP,Rather yes,Rather yes,No,Yes,Yes,Rather yes,Rather yes,Rather yes,Yes,Yes,2,Rather no,Rather yes,No,Yes,Rather no,Rather no,Yes,Rather yes,Rather no,No,Yes,No,Rather no,Rather no,No,Rather no,Yes,No,Rather yes,Rather yes,Yes,Rather yes,Yes,Yes,Yes,Rather yes,No,Rather yes,Rather no,Yes,Yes,Rather no,No,Rather no,Rather no,Yes,Rather no,7,4,6,-19.0,-5.0
Simone Ziehli-Binder,EVP,Rather yes,No,No,Yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather yes,6,Rather no,Rather yes,Rather no,Yes,Yes,Yes,Yes,Yes,No,No,Rather yes,Rather no,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather yes,6,3,5,-5.5,-6.0
Adrian Fassbind,EVP,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather no,6,Rather no,Rather yes,Rather no,Yes,Rather yes,Rather no,Yes,Yes,Rather no,Rather no,Rather no,Yes,No,No,Rather yes,Rather no,Yes,Yes,Yes,No,Rather yes,Yes,Yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather no,Rather no,Yes,Yes,Rather yes,Rather yes,6,4,6,5.5,1.0
Lena Mailänder,EVP,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Yes,Rather no,Rather no,No,Rather yes,3,Yes,Rather yes,No,Rather yes,Rather yes,No,Yes,Yes,Rather yes,Rather no,No,Rather no,Rather no,No,Rather no,Rather no,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather no,Rather yes,Yes,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Rather yes,5,2,5,-3.5,7.5
Thomas Moldovanyi,EVP,Yes,Rather yes,No,Rather no,Yes,Rather yes,Rather yes,Yes,Yes,Rather yes,1,No,Yes,No,Rather yes,Rather no,Rather yes,Yes,Yes,No,No,Yes,No,Yes,Rather yes,No,Rather no,Rather no,Rather no,Yes,Rather no,Rather yes,Yes,Rather no,No,Yes,Rather yes,No,Rather yes,Yes,Yes,Rather no,Rather yes,No,Rather yes,Rather no,Yes,Rather yes,6,1,7,-31.0,-1.5
Felizitas Laukemann,EVP,Rather yes,Rather yes,No,Yes,Yes,Rather yes,Rather yes,No,Rather yes,Yes,5,Rather yes,Yes,No,Yes,Rather yes,Rather no,Rather yes,Yes,Yes,Rather yes,Rather yes,No,Rather no,Rather no,Rather yes,Rather no,Rather yes,No,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,No,Rather yes,Rather no,Yes,No,Rather no,Rather no,Rather yes,Rather yes,Yes,Rather yes,4,3,5,-10.0,-2.0
Michael Peter Glauser,EVP,Rather yes,Yes,No,Rather yes,Rather no,Rather yes,Yes,Yes,Rather no,No,5,Yes,Rather yes,No,Yes,Rather no,No,Yes,Rather yes,No,No,Rather no,No,Rather no,Rather no,No,No,Yes,Rather no,No,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,No,Yes,Rather yes,Yes,No,5,5,5,2.5,3.0
Doris Muiba,EVP,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather no,No,Rather no,5,Yes,Rather yes,Rather no,Rather yes,Yes,Rather no,Yes,Rather yes,Rather no,No,No,Rather no,Rather no,No,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather no,Rather yes,Rather yes,Rather no,Yes,Rather no,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,5,4,4,11.0,10.5
Matthias Bischofberger,EVP,Yes,Rather yes,No,No,Yes,Rather no,Yes,Yes,Yes,Rather yes,3,Rather yes,Yes,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Rather yes,No,Rather yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rather no,No,Yes,Yes,Yes,No,No,Rather no,Rather no,Rather no,Yes,No,6,2,6,-27.0,-3.5
Monika Da Pra,EVP,Yes,Rather yes,Rather no,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,4,No,Yes,No,Yes,Yes,Yes,Rather yes,Yes,Rather no,No,No,No,Rather no,No,No,Yes,Rather no,Rather yes,Yes,Rather no,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Rather no,Yes,Rather no,Yes,Yes,6,6,7,-12.5,1.5
Beat Friedländer,EVP,Rather yes,Yes,No,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,5,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,Rather yes,Yes,Rather yes,No,Rather no,Rather no,Rather no,Rather yes,No,No,Rather yes,No,Rather no,Rather yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Yes,No,No,No,Yes,Rather no,Yes,No,4,4,5,-10.5,-0.5
Daniela Bänninger,EVP,Rather yes,Rather yes,Rather no,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,4,Yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,No,No,Yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,No,Rather no,Yes,Rather no,Yes,Yes,4,3,5,0.0,6.0
Andrea Fuss-Sommer,EVP,Rather yes,Yes,No,Yes,Yes,Rather yes,Yes,Rather no,Yes,Yes,4,Rather yes,Yes,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,No,Rather no,No,Rather no,No,No,No,Rather yes,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Yes,Rather yes,No,Rather yes,Rather no,Yes,No,No,Rather no,Rather no,Rather no,Yes,Rather no,3,4,6,-12.5,-1.5
David Nievergelt,EVP,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather no,No,No,Rather no,4,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather no,No,Rather no,Yes,Rather no,Yes,Rather no,4,5,2,4.5,8.5
Corrie Huizinga,EVP,Yes,Rather yes,No,Yes,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,4,Rather yes,Rather yes,No,Rather yes,Rather yes,Yes,Rather yes,Yes,Yes,Yes,Rather no,No,Yes,Rather yes,No,Rather no,No,No,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather no,No,Rather no,Rather no,Yes,No,6,2,5,-27.5,-7.0
Matthias Ziehli,EVP,Rather yes,Yes,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather no,5,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Yes,Rather yes,No,No,No,Rather no,No,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Yes,Rather yes,Rather no,Rather yes,Yes,No,Rather yes,Yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,4,4,3,11.0,2.5
Naomi Ann Roth,EVP,Rather yes,Yes,No,Yes,Yes,Yes,Rather yes,Rather no,Rather yes,Yes,4,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather no,No,Rather no,Rather no,No,No,Rather yes,No,Rather yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Rather yes,No,Rather yes,Rather yes,Yes,Rather no,No,Rather no,Yes,No,Yes,No,3,2,7,-14.0,-3.0
Simon Bosshard,EVP,Yes,Yes,No,Yes,Yes,Rather yes,Yes,Yes,Rather yes,Yes,4,Rather yes,Yes,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,Rather no,Rather yes,No,Rather no,Rather yes,No,No,Rather yes,Rather no,Yes,Rather yes,Yes,Yes,Yes,Rather no,Yes,Rather no,No,Rather yes,Rather yes,Yes,No,Rather no,No,Rather yes,Rather no,Yes,Rather no,6,4,6,-22.5,-4.0
Iris Kuster,Mitte,No,Rather yes,No,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,6,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Yes,No,No,No,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather yes,No,Rather no,Yes,No,Yes,No,Rather no,Rather no,Yes,No,No,Rather no,Rather no,No,No,Rather yes,Rather yes,Rather yes,Rather yes,2,5,2,24.0,5.5
Andreas Geering,Mitte,Rather no,Rather yes,Rather no,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,5,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather no,No,No,Rather no,Rather yes,Rather no,Rather no,Rather no,Yes,Rather no,Rather yes,No,Rather no,No,Rather no,Rather no,Rather no,Rather no,Rather no,No,Rather no,Yes,Rather yes,Rather yes,Yes,3,5,3,6.5,1.0
Kaspar Vogel,Mitte,No,No,No,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,5,Rather yes,No,No,Yes,Yes,No,Yes,Rather no,Rather yes,No,Rather no,Rather yes,Yes,Yes,No,Rather no,Rather no,Rather no,Rather yes,Rather no,Yes,No,Rather yes,Rather yes,Rather yes,Rather no,Rather no,No,No,Rather yes,No,No,Rather no,Yes,Rather yes,Yes,Rather no,4,2,5,-3.0,0.5
André Zuraikat,Mitte,Rather no,Rather no,No,Yes,Rather yes,Yes,Yes,Yes,Yes,Rather no,6,Rather yes,Rather yes,No,Yes,Rather yes,Yes,Yes,Rather yes,No,No,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather no,Rather no,Yes,No,Rather yes,No,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,Rather no,No,Rather no,Yes,Yes,Yes,Rather yes,2,3,4,4.5,0.5
Simon Bründler,Mitte,No,Rather no,No,Yes,Rather yes,Yes,Yes,Rather yes,Yes,Rather no,6,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,No,No,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Yes,No,Yes,Rather no,Rather no,No,Rather yes,No,No,Rather yes,Rather yes,No,Rather no,Yes,Yes,Yes,Rather yes,2,3,3,15.0,-1.5
Jacqueline Scheiflinger-Mannhart,Mitte,Rather no,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,No,Rather no,Rather yes,6,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Rather yes,No,No,No,No,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather no,No,Rather no,Yes,Rather no,Rather yes,No,No,No,Rather yes,Rather no,Rather yes,Rather no,Rather yes,No,Rather no,Yes,Yes,Yes,Yes,2,4,3,15.5,6.0
